name,address,city,postal_code,rating,user_ratings_total,types,maps_url,matched_keywords,place_category,product_category
Bioceno,"Rue Paepsem 123 Boite 7/bâtiment 7, 1070 Anderlecht, Belgium",Anderlecht,1070,4.8,23,health|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJRRbEeNXaw0cRg8uFdPpoa6s,boutique bio locale;ferme bio;ferme lait bio;magasin bio;magasin de producteurs;magasin de produits biologiques;primeurs bio;producteur bio;producteur fruits bio;producteur local;producteur légumes bio;vente directe à la ferme;épicerie bio,magasin;producteur,Fruits & Légumes;Produits laitiers
eFarmz,"Bd Industriel 135, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,227,health|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJbdOEdR3Ew0cR6eh_KdgNg7E,boutique bio locale;ferme bio;ferme lait bio;ferme miel;magasin bio;magasin de producteurs;magasin de produits biologiques;producteur bio;producteur fruits bio;producteur local,magasin;producteur,Fruits & Légumes;Miels artisanaux et locaux;Produits laitiers
Vert d'Iris,"Chemin en face du 20, Rue de Koeivijver, 1070 Anderlecht, Belgium",Anderlecht,1070,4.6,28,food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJJQOdzOPGw0cRxHA-GkkAp5o,ferme bio;ferme lait bio;ferme miel;magasin de producteurs;primeurs bio;producteur bio;producteur fruits bio;producteur local;producteur légumes bio,magasin;producteur,Fruits & Légumes;Miels artisanaux et locaux;Produits laitiers
Färm,"Bd Sylvain Dupuis 433, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,65,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJLRYBhV3Hw0cRmfTSDciaNaY,boutique bio locale;ferme bio;ferme lait bio;ferme miel;magasin bio;magasin de producteurs;magasin de produits biologiques;primeurs bio;producteur bio;producteur local;épicerie bio,magasin;producteur,Fruits & Légumes;Miels artisanaux et locaux;Produits laitiers
Herbéa,"Rue de Neerpede, 1070 Anderlecht, Belgium",Anderlecht,1070,5,1,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJiyAJKgDHw0cRURJektXJtxc,magasin de producteurs;primeurs bio;producteur bio;producteur local,magasin;producteur,Fruits & Légumes
Vert d'Iris scrl-fs,"Rue des Betteraves 27, 1070 Bruxelles, Belgium",Bruxelles,1070,4.9,7,food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ7QpdkuPGw0cRorbuLGhFHOg,producteur bio;producteur local,producteur,
Brussels Aquaponic Farm - BIGH Anderlecht,"Rue Ropsy Chaudron 24 boîte 35, 1070 Anderlecht, Belgium",Anderlecht,1070,4.5,69,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJybFMQQzEw0cREIUU_jQCSto,ferme avicole;ferme bio;ferme lait bio;producteur bio;producteur local,producteur,Produits laitiers
Marché Bio de Roodebeek,"Chau. de Roodebeek 298, 1200 Woluwe-Saint-Lambert, Belgium",Woluwe-Saint-Lambert,1200,4.6,23,grocery_or_supermarket|food|point_of_interest|store|establishment,https://www.google.com/maps/place/?q=place_id:ChIJL8j2Pabcw0cRx9H0-fBrcjk,magasin de producteurs;producteur bio,magasin;producteur,
Smala Farming,"Rue de Neerpede, 1070 Anderlecht, Belgium",Anderlecht,1070,4.9,28,food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJF9D9qLrHw0cRJLJB3_gyIeY,ferme bio;ferme lait bio;ferme miel;magasin de producteurs;producteur bio;producteur local,magasin;producteur,Miels artisanaux et locaux;Produits laitiers
BIOCultura,"Rue Chant d'Oiseaux 171, 1070 Anderlecht, Belgium",Anderlecht,1070,,,point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJQ85Mko0OSgoRH1HHMNy5UAg,ferme bio;producteur bio,producteur,
