name,address,city,postal_code,rating,reviews,types,maps_url
Biocap - Erpent,"Chau. de Marche 499, 5101 Namur, Belgium",Namur,5101,4.2,364,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJbWrn-FCYwUcRLsqK2xFY3eo
Biocap - Bouge,"Rue Saint-Luc 27, 5004 Namur, Belgium",Namur,5004,4.4,33,health|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ25cz1SKZwUcRYFhTudjxb1E
Färm,"Chau. de Waterloo 490, 5002 Namur, Belgium",Namur,5002,4.7,75,store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJY_PF-2SbwUcRVbITciwUw5o
Magasin Paysans-Artisans LA PLANTE,"Chau. de Dinant 314, 5000 Namur, Belgium",Namur,5000,4.6,29,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ8bF-ip-ZwUcRpv9DPYKFq9I
Etik Nature,"Av. du Bourgmestre Jean Materne 52, 5100 Namur, Belgium",Namur,5100,4.7,130,jewelry_store|book_store|health|store|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ5bvO9nSZwUcRqbeb-q8AUho
Naturelle,"Rue des Carmes 31, 5000 Namur, Belgium",Namur,5000,4.6,9,health|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ20Jtfm6ZwUcRFJEYR6w4F0s
Chaman - Vrac de quartier,"Rue Patenier 60, 5000 Namur, Belgium",Namur,5000,5,39,grocery_or_supermarket|bakery|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJuXrkbcyZwUcR4Hs0AI0Sl6E
Magasin Paysans-Artisans Namur,"Rue des Carmes 42, 5000 Namur, Belgium",Namur,5000,4.6,139,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJ13wRgW6ZwUcR483Js-T8KB0
Magasin Paysans-Artisans Saint-Marc,"Rue du Château de Saint-Marc 96, 5003 Namur, Belgium",Namur,5003,4.9,8,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJDxH-pwyZwUcRn8mAZ4hUly0
MAGASIN Paysans-Artisans BOUGE,"Chau. de Louvain 329, 5004 Namur, Belgium",Namur,5004,4.5,13,grocery_or_supermarket|store|food|point_of_interest|establishment,https://www.google.com/maps/place/?q=place_id:ChIJJxwLUYiZwUcRUYTInqumAs8
